"COUNTRY","Country","Continent","Region","LifeExpectancy","IMR","Population","AirPollution","HomicidesRate","HospitalBeds","HealthExpenditure","Internet","Physicians","country","region","happiness","gdp","social_support","perceived_freedom","generosity","perception_of_corruption"
"61","IND","India","Asia","South Asia",70.78756,28.25677,1339180.127,68.76,1.90599,5.3,4.68509,12.58006,0.758,"India","South Asia",3.573299885,8.849823952,0.592200935,0.881444871,0.057551607,0.772042692
"62","IRL","Ireland","Europe","Europe & Central Asia",81.84092,2.82904,4813.608,8.01,1.13776,29.7,7.7832,79,2.961,"Ireland","Western Europe",7.093699932,11.16097832,0.942081571,0.886982977,0.145784974,0.357184172
"63","IRN","Iran (Islamic Republic of)","Asia","Middle East & North Africa",77.34517,11.99341,81162.788,34.45,3.05765,15.6,6.89492,25.99764,1.491,"Iran","Middle East and North Africa",4.672399998,9.813719749,0.694689691,0.647873282,0.117891103,0.714635968
"64","IRQ","Iraq","Asia","Middle East & North Africa",72.42317,21.82842,38274.618,55.42,20.576,13.2,5.53887,7.1,0.854,"Iraq","Middle East and North Africa",4.784800053,9.661095619,0.747694969,0.633182645,-0.06956476,0.82226181
"65","ISL","Iceland","Europe","Europe & Central Asia",82.32826,1.55308,341.284,5.81,1.18256,28.3,8.85917,96,3.791,"Iceland","Western Europe",7.504499912,10.77255917,0.974669576,0.948891878,0.246944219,0.711709738
"66","ISR","Israel","Asia","Middle East & North Africa",82.62151,2.96829,8712.4,18.52,0.67356,29.8,7.80831,73.36501,3.576,"Israel","Middle East and North Africa",7.128600121,10.41752529,0.913571239,0.747580588,0.10259372,0.78085506
"67","ITA","Italy","Europe","Europe & Central Asia",82.97414,2.68445,60551.416,14.84,0.91984,31.4,9.24792,58,4.021,"Italy","Western Europe",6.38740015,10.48183632,0.889878571,0.66465199,-0.043460999,0.873404682
"68","JAM","Jamaica","Americas","Latin America & Caribbean",75.97828,11.92587,2890.299,14.86,79.82653,17.17473,5.36152,46.5,0.472,"Jamaica","Latin America and Caribbean",5.889800072,9.006250381,0.915701866,0.858068526,-0.125106767,0.888890028
"69","JOR","Jordan","Asia","Middle East & North Africa",77.87197,13.40867,9702.353,33.2,3.8269,14.7,7.453,41,3.426,"Jordan","Middle East and North Africa",4.633399963,9.025999069,0.80216372,0.75104779,-0.162565202,0.700344324
"70","JPN","Japan","Asia","East Asia & Pacific",84.26138,1.79733,126785.797,13.42,0.20955,129.8,10.22874,79.05,2.367,"Japan","East Asia",5.870800018,10.57968903,0.883545935,0.809961379,-0.246910349,0.654558063
"71","KAZ","Kazakhstan","Asia","Europe & Central Asia",73.95099,9.30238,18037.646,17.84,8.28372,60.569,4.35594,53.31567,3.274,"Kazakhstan","Commonwealth of Independent States",6.057899952,10.11465836,0.934744895,0.811601937,-0.068488635,0.764490843
"72","KEN","Kenya","Africa","Sub-Saharan Africa",66.08511,31.86515,49699.862,26.6,5.59667,14,5.72029,32.09542,0.204,"Kenya","Sub-Saharan Africa",4.583000183,8.02977562,0.702652037,0.829747558,0.294681519,0.831499159
"73","KGZ","Kyrgyzstan","Asia","Europe & Central Asia",74.18089,16.36193,6201.5,23.88,4.584,44.132,6.48376,21.72351,1.854,"Kyrgyzstan","Commonwealth of Independent States",5.541500092,8.148405075,0.887228489,0.909374893,0.154772058,0.888396084
"74","KHM","Cambodia","Asia","East Asia & Pacific",70.12289,22.8336,16005.373,25.05,3.5008,9,5.67564,4.93986,0.143,"Cambodia","Southeast Asia",4.848400116,8.249890327,0.773080647,0.959704638,0.051911179,0.822769046
"75","KOR","Republic of Korea","Asia","East Asia & Pacific",83.3047,2.72669,51466.201,26.41,0.54822,124.3,7.37311,84.1,2.326,"South Korea","East Asia",5.872399807,10.51056671,0.799387157,0.612965107,-0.043404032,0.789067447
"76","KWT","Kuwait","Asia","Middle East & North Africa",80.96625,6.76706,4136.528,62.59,2.45748,20.4,3.04237,79.1782,2.608,"Kuwait","Middle East and North Africa",6.102099895,11.08982468,0.846475244,0.872366488,-0.100184701,0.760849059
"77","LAO","Lao People's Democratic Republic","Asia","East Asia & Pacific",68.51331,36.36113,6858.16,20.46,3.79742,15,1.86555,10.74768,0.491,"Laos","Southeast Asia",4.888599873,8.79858017,0.737502217,0.907213569,0.11137148,0.634679317
"78","LBN","Lebanon","Asia","Middle East & North Africa",76.43958,6.16469,6082.357,30.66,4.15122,27.3,6.39371,61.24979,2.38,"Lebanon","Middle East and North Africa",4.771500111,9.3617239,0.824338138,0.551357508,-0.06121527,0.90225625
"79","LBR","Liberia","Africa","Sub-Saharan Africa",64.07872,62.18278,4731.906,52.28,14.77516,8,10.03633,3.7941,0.023,"Liberia","Sub-Saharan Africa",4.557899952,7.054380417,0.70928055,0.735268712,0.04227322,0.856375933
"80","LBY","Libya","Africa","Middle East & North Africa",75.77909,9.88311,6374.616,49.23,0.87227,32,4.96894,19.8637,2.092,"Libya","Middle East and North Africa",5.488800049,9.789815903,0.825942934,0.773157001,-0.085054487,0.668779135
"81","LKA","Sri Lanka","Asia","South Asia",76.86693,6.07699,21444,16.54,0.7518,41.5,3.50335,18.2854,0.881,"Sri Lanka","South Asia",4.327000141,9.389969826,0.825374067,0.837633669,0.081129618,0.859001756
"82","LSO","Lesotho","Africa","Sub-Saharan Africa",50.74881,68.07696,2233.339,24.49,43.47237,13,10.61768,4.58962,0.047,"Lesotho","Sub-Saharan Africa",3.652800083,7.960488319,0.780495703,0.738125861,-0.145732045,0.857392073
"83","LTU","Lithuania","Europe","Europe & Central Asia",75.99383,2.98902,2827.721,10.71,7.39919,64.3,6.55212,68,4.379,"Lithuania","Central and Eastern Europe",6.215499878,10.34362602,0.926107109,0.747381449,-0.219725296,0.809583843
"84","LUX","Luxembourg","Europe","Europe & Central Asia",82.41467,2.24776,599.449,10.02,0.50831,42.6,6.93787,92,2.921,"Luxembourg","Western Europe",7.237500191,11.45068073,0.906912208,0.90563643,-0.004620588,0.367084295
"85","LVA","Latvia","Europe","Europe & Central Asia",75.37604,3.09096,1940.74,12.33,2.85761,54.9,5.88069,74,3.209,"Latvia","Central and Eastern Europe",5.949999809,10.17531967,0.918288589,0.671237648,-0.186888844,0.795580089
"86","MAR","Morocco","Africa","Middle East & North Africa",72.98804,18.34228,35739.58,28.38,0.94877,10,5.90778,55,0.618,"Morocco","Middle East and North Africa",5.094799995,8.940313339,0.592628479,0.772072434,-0.240377247,0.815724611
