id,issue_d,loan_status,WOE_Fico_score,WOE_revol_util,WOE_annual_inc,WOE_dti,WOE_ODF_addr_state,WOE_grade,WOE_term,WOE_ODF_purpose,WOE_loan_amnt2,WOE_flag_cliente,PD,Points
60,6/1/2012,0,-0.355,-0.3062,0.2194,0.1684,-0.3157,-0.9106,-0.5711,-0.0379,-0.3342,0.0156,0.380085886,514
61,6/1/2012,0,-0.5172,-0.3062,0.2194,0.1684,-0.3157,-0.7594,-0.5711,-0.0379,-0.1737,0.0156,0.377368407,514
62,6/1/2012,0,0.0811,-0.4724,-0.2703,-0.0148,-0.3157,-0.1869,-0.5711,-0.0379,0.0874,0.0156,0.375972276,515
63,6/1/2012,0,-0.355,-0.1342,-0.0626,-0.1607,-0.1101,-0.4851,-0.5711,-0.0379,-0.1737,0.0156,0.374766364,515
64,6/1/2012,0,-0.5172,-0.3062,-0.0626,-0.1607,0.115,-0.9106,-0.5711,-0.0379,-0.1737,-0.0368,0.374143544,515
65,6/1/2012,0,-0.2074,-0.3062,-0.2703,-0.1607,-0.1101,-0.4851,-0.5711,-0.0379,0.0874,-0.0368,0.372279118,515
66,6/1/2012,1,0.0811,-0.3062,-0.2703,-0.0148,-0.1101,0.1931,-0.5711,-0.0379,-0.1737,-0.0368,0.371732277,515
67,6/1/2012,0,0.0811,-0.3062,-0.2703,-0.1607,-0.1101,-0.1869,-0.5711,-0.0379,-0.1737,-0.0368,0.371732277,515
68,6/1/2012,1,-0.5172,-0.1342,-0.2703,-0.1607,0.115,-0.4851,-0.5711,-0.0379,0.0874,-0.0368,0.36800175,516
69,6/1/2012,0,-0.5172,-0.3062,0.2194,-0.0148,-0.1101,-0.9106,-0.5711,-0.0379,-0.3342,0.0156,0.367131956,516
70,6/1/2012,0,-0.5172,-0.3062,0.2194,-0.1607,-0.1101,-0.9106,-0.5711,-0.0379,-0.3342,0.0156,0.367131956,516
71,6/1/2012,0,-0.5172,-0.3062,0.2194,-0.1607,-0.1101,-0.9106,-0.5711,-0.0379,-0.3342,0.0156,0.367131956,516
72,6/1/2012,0,-0.0549,-0.3062,-0.0626,-0.1607,-0.1101,-0.4851,-0.5711,-0.0379,-0.3342,0.0156,0.366465936,516
73,6/1/2012,0,-0.2074,-0.4724,-0.0626,0.1684,-0.3157,-0.4851,-0.5711,-0.0379,0.0874,-0.0368,0.366058327,516
74,6/1/2012,0,-0.2074,-0.4724,-0.0626,-0.0148,-0.3157,-0.4851,-0.5711,-0.0379,0.0874,0.0156,0.366058327,516
