SATISFACCION_GLOBAL;VALORACION_COSTE_GLOBAL;VAL_CAL_GLOB;VAL_CAL_PREC;RECOMENDACION;NECESIDAD_CLIENTE;CAPACIDAD_RESOLUCION;PROCESO_ADQUISICION;SATISFACCION_PV;ACCESO_VENDEDOR_PV;DISPONIBILIDAD_PRODUCTOS_PV;ATENCION_PV;ASPECTO_PV;SOLUCION_PV;SAT_TELEFONO_PROPIO;SATISFACCION_GAMA;SAT_CALIDAD_COMUNICACION;COBERTURA_INTERIORES;COBERTURA_EXTERIORES;NITIDEZ;INTERRUPCIONES;INTENTOS_LLAMADA;TIEMPO_CONEXION;SATISFACCION_ROAMING;SATISFACCION_CC;FACILIDAD_ACCESO_CC;CALIDAD_INFORMACION_CC;AMABILIDAD_CC;RAPIDEZ_SOLUCION_CC;SATISFACCION_WEB;SAT_AREA_CLI;SATISFACCION_TIENDA_WEB;SAT_SERV_DAT;VAL_SERV_NAV;SATISFACCION_FACTURA;ACCESIBILIDAD_FACTURA;CLARIDAD_FACTURA;PUNTUALIDAD_FACTURA;ERROR_FACTURA;VALORACION_TARIFAS;VAL_TAR_PERS;VALORACION_PROMOCIONES;VALORACION_RENOVE;VALORACION_INFORMACION;IMAGEN;CONFIANZA_TRATO;FIDELIDAD_CODIGO;ESFUERZO;ANIO;Q;SEXO;operador_agr;EDAD
6;8;8;7;10;;7;8;;;;;;;8;7;6;6;8;8;7;8;8;;6;6;6;8;7;;;;7;7;9;8;8;8;1;8;9;6;7;7;7;7;9;;2012;3;Mujer     ;operador C    ;18
8;6;7;7;9;;9;8;;;;;;;8;5;7;6;7;9;3;8;10;;;;;;;;;;;8;7;5;8;5;2;8;9;6;;6;8;6;9;;2012;3;Hombre    ;operador C    ;35
10;5;;6;6;5;5;10;;;;;;;9;8;10;10;10;10;10;10;10;;;;;;;;;;;10;8;;;;;5;8;5;;;6;6;3;5;2012;1;Hombre    ;operador C    ;52
7;6;7;8;9;9;6;8;7;9;8;7;9;7;6;6;9;9;9;9;8;7;8;;4;4;3;5;5;;;;;;8;;;;;8;7;5;6;6;7;7;9;8;2012;2;          ;operador C    ;
5;8;7;5;7;1;8;9;8;8;8;9;9;7;6;9;9;7;9;9;9;7;9;;9;8;7;9;8;;;;8;8;6;7;7;7;1;6;8;0;9;5;7;7;3;;2013;2;Mujer     ;operador C    ;17
2;3;1;0;0;0;1;5;;;;;;;6;2;1;4;5;3;2;4;4;;0;0;0;5;;5;6;1;;;3;;;;;4;2;0;3;0;0;2;1;0;2012;1;Mujer     ;operador C    ;40
10;10;8;10;10;;10;10;10;10;8;10;10;10;9;9;10;10;10;10;5;10;10;;;;;;;;;;10;10;10;10;10;10;2;10;10;10;10;10;10;10;9;;2012;4;Hombre    ;operador C    ;52
8;6;7;3;10;;5;10;10;5;10;10;10;8;10;10;10;7;10;10;10;10;5;;;;;;;8;8;;;7;7;7;10;5;2;10;10;10;10;10;7;10;9;;2013;1;Hombre    ;operador C    ;20
9;8;8;7;7;;7;7;7;7;7;6;7;6;7;7;9;7;9;8;8;8;8;;8;7;7;8;8;;;;8;7;7;7;7;6;2;7;7;7;;5;7;7;7;;2012;4;Hombre    ;operador C    ;51
7;6;7;8;9;2;8;6;;;;;;;7;6;7;6;8;8;9;9;9;;6;8;7;8;8;9;;;;;9;9;9;8;2;10;8;6;6;7;7;8;9;;2013;2;Hombre    ;operador C    ;20
6;5;6;6;5;;5;9;8;7;8;8;9;8;8;0;8;8;8;8;8;8;8;;;;;;;;;;;;8;8;8;8;2;7;;;;7;8;8;9;;2013;1;Mujer     ;operador C    ;54
8;9;8;8;9;8;7;9;;;;;;;10;9;7;5;10;9;9;9;9;;9;9;7;8;8;;;;9;;9;;;;;8;10;8;;7;8;8;9;5;2012;2;          ;operador C    ;
4;6;6;5;4;2;4;7;;;;;;;7;8;3;4;5;6;2;3;3;;5;6;4;8;;;;;;5;6;5;5;5;1;;7;;;5;4;6;3;;2013;2;Mujer     ;operador C    ;37
7;8;9;9;10;2;10;9;;;;;;;10;8;7;7;10;8;8;0;10;10;9;7;10;10;4;10;;;10;10;8;7;9;10;2;10;10;8;;6;9;10;9;;2013;2;Hombre    ;operador C    ;30
7;8;;8;8;8;7;9;9;9;;9;9;9;9;0;9;8;10;9;9;8;9;;;;;;;;;;;;9;;;;;9;8;;;9;8;8;9;;2012;2;          ;operador C    ;
8;7;7;7;8;2;7;9;7;7;8;8;9;8;8;9;8;7;9;8;8;9;9;8;7;3;8;9;4;8;8;;7;7;7;8;9;9;2;8;8;8;8;8;8;7;7;;2013;2;Hombre    ;operador C    ;48
5;8;5;4;5;6;6;7;7;9;6;8;9;9;7;7;7;6;9;8;8;8;7;;;;;;;;;;8;8;7;;;;;5;5;6;5;7;7;7;3;4;2012;2;          ;operador C    ;
8;8;8;8;9;;8;9;7;6;8;6;7;6;8;7;9;8;9;9;8;8;9;;7;7;7;8;7;8;8;9;8;8;8;8;8;8;2;7;7;7;8;6;8;7;9;;2013;1;Hombre    ;operador C    ;36
7;5;7;5;6;5;6;7;;;;;;;8;0;8;7;7;8;8;6;7;;;;;;;;;;;;6;;;;;6;;7;;5;7;5;7;5;2012;2;          ;operador C    ;
8;6;7;8;6;9;9;8;7;9;10;10;10;9;10;9;9;8;10;8;7;8;9;9;7;8;9;9;8;;;;;;9;;;;;6;8;8;9;8;9;8;7;7;2012;1;Hombre    ;operador C    ;25
6;8;7;6;7;4;6;7;8;9;8;8;8;9;5;7;6;5;5;7;8;8;8;;7;8;8;8;7;;;;;;8;;;;;7;7;7;;6;6;6;3;6;2012;1;Mujer     ;operador C    ;18
7;6;6;5;4;5;4;6;7;7;6;7;8;7;7;8;7;5;8;8;3;7;8;8;;;;;;;;;7;;8;;;;;7;7;6;6;6;8;5;1;6;2012;2;          ;operador C    ;
3;3;3;3;3;;1;5;;;;;;;7;8;2;2;3;2;2;1;1;;7;2;2;5;0;;5;;;8;7;8;4;11;2;8;3;3;;8;6;6;5;;2012;4;Mujer     ;operador C    ;40
7;7;7;6;7;;8;8;7;5;5;5;8;7;8;8;6;6;7;7;9;7;9;;7;8;8;7;7;9;;;;8;9;8;8;8;2;6;6;6;5;7;7;7;3;;2012;3;Hombre    ;operador C    ;48
6;6;7;7;6;2;6;7;;;;;;;4;8;8;7;8;8;9;7;6;;6;5;6;8;8;7;7;7;6;6;8;8;8;8;2;6;7;4;4;7;7;7;1;;2013;2;Hombre    ;operador C    ;49
6;5;8;5;10;7;5;9;8;9;8;10;10;9;10;10;7;7;8;7;6;8;8;;;;;;;;;;8;;8;;;;;9;5;6;7;4;6;6;9;0;2012;1;Hombre    ;operador C    ;25
8;8;6;8;10;;10;7;6;5;5;5;10;8;10;6;10;9;9;9;9;9;9;;6;3;9;9;7;5;8;;4;9;9;9;9;9;2;9;9;4;;3;8;6;9;;2012;3;Hombre    ;operador C    ;30
8;10;9;9;10;;8;8;8;9;7;8;10;8;6;6;8;8;8;9;8;8;7;;7;5;6;8;6;;;;7;8;9;9;8;8;2;9;9;6;7;7;9;9;9;;2012;4;Hombre    ;operador C    ;44
7;7;6;6;0;;6;9;;;;;;;9;4;7;8;7;7;7;8;6;;5;4;5;5;4;8;8;;7;;6;8;4;4;1;4;5;4;7;9;7;8;3;;2013;1;Hombre    ;operador C    ;54
8;8;8;7;8;0;7;9;7;8;7;7;8;8;7;8;9;5;10;9;9;6;8;;7;5;7;8;8;10;10;8;7;7;7;;;;;7;9;7;7;7;7;7;9;10;2012;2;          ;operador C    ;
10;10;10;8;10;2;10;10;;;;;;;9;10;10;10;10;10;10;9;10;;9;8;10;10;10;;;;10;10;10;10;10;10;2;10;10;10;10;10;10;10;9;;2013;2;Mujer     ;operador C    ;48
7;8;7;5;8;6;7;8;6;7;6;5;7;8;8;9;8;8;8;8;7;6;4;;7;4;5;7;6;;;;5;7;7;;;;;7;8;7;7;6;8;8;9;7;2012;2;          ;operador C    ;
6;4;7;5;6;2;6;8;6;5;4;6;8;6;3;6;7;7;7;7;5;2;6;6;6;3;5;7;3;;;;;6;9;9;9;9;2;9;9;6;;5;8;7;9;;2013;2;Hombre    ;operador C    ;25
7;8;8;8;8;2;8;8;;;;;;;8;9;5;8;5;8;4;7;8;;10;10;10;10;10;7;7;;7;8;7;7;5;7;2;8;8;6;;6;8;8;9;;2013;2;Mujer     ;operador C    ;50
6;8;6;7;5;1;8;9;0;2;0;0;9;0;6;6;5;3;8;6;7;6;5;;8;4;9;8;8;;;;;;4;7;4;7;2;9;9;2;;7;8;6;7;;2013;2;Mujer     ;operador C    ;39
8;6;6;6;8;2;7;7;8;8;8;10;10;8;8;10;8;8;8;8;8;8;8;;;;;;;;;;8;8;7;7;7;9;2;7;7;6;;6;8;7;7;;2013;2;Mujer     ;operador C    ;64
8;7;6;8;10;7;10;8;7;7;6;7;10;10;8;10;5;5;6;8;5;7;6;;8;9;8;7;7;6;8;;7;6;10;;;;;8;8;6;;4;7;8;9;10;2012;2;          ;operador C    ;
5;6;6;6;4;0;3;7;7;8;8;7;8;7;5;6;4;2;4;3;3;5;4;;6;6;5;10;5;7;5;7;;;7;;;;;5;7;0;;0;2;3;3;3;2012;1;Hombre    ;operador C    ;17
10;7;10;8;10;9;7;9;10;10;9;10;9;10;9;7;7;8;9;;6;8;10;;;;;;;;;;7;8;10;;;;;10;9;8;8;8;10;9;9;9;2012;2;          ;operador C    ;
6;8;7;7;6;7;6;7;8;9;8;9;9;9;8;9;6;5;6;8;6;6;7;;;;;;;;;;6;9;8;;;;;8;8;8;8;7;7;7;9;10;2012;1;Mujer     ;operador C    ;65
7;6;8;7;7;2;9;8;9;9;7;9;9;7;9;7;9;9;9;10;9;10;10;;8;8;8;9;10;9;9;;8;9;9;7;8;8;2;7;6;7;7;8;9;8;9;;2013;2;Hombre    ;operador C    ;32
7;5;7;6;6;1;8;8;;;;;;;8;9;7;7;8;8;9;7;8;;6;6;7;10;5;5;3;8;6;7;7;5;7;7;2;5;6;2;1;3;6;6;7;;2013;2;Hombre    ;operador C    ;31
7;8;8;7;8;6;7;7;8;10;6;8;10;8;6;7;7;7;8;8;8;8;8;;;;;;;;;;7;;8;;;;;9;;7;;7;7;7;9;7;2012;1;Hombre    ;operador C    ;28
10;8;9;8;10;1;8;9;9;8;9;9;10;8;9;9;8;6;8;9;9;8;8;;8;7;8;9;8;;;;8;8;8;8;8;8;1;8;9;8;8;8;8;8;7;;2013;2;Hombre    ;operador C    ;52
8;5;10;7;10;;9;10;10;8;7;8;10;7;10;10;6;4;7;7;4;4;7;;8;5;5;7;8;;;;7;7;8;8;8;4;2;6;6;5;7;8;8;8;9;;2013;1;Mujer     ;operador C    ;24
7;8;7;7;5;2;7;7;8;7;7;8;8;7;8;6;4;5;5;6;8;5;5;;5;3;7;7;5;;;;;4;7;6;7;5;2;4;6;3;5;4;7;7;7;;2013;2;Hombre    ;operador C    ;44
7;9;8;7;10;;8;9;;;;;;;9;10;9;9;9;8;9;9;9;;6;6;5;8;;;;;;7;8;8;8;9;2;8;9;5;;7;8;6;9;;2012;4;Mujer     ;operador C    ;32
5;5;5;3;3;2;3;2;;;;;;;5;5;4;3;6;5;5;4;5;;;;;;;;;;;;3;3;4;3;1;4;3;3;;3;2;3;3;;2013;2;Hombre    ;operador C    ;26
7;8;7;7;10;8;10;7;4;8;0;8;10;0;10;10;7;4;6;8;4;6;6;;7;4;8;9;7;7;7;;;5;8;;;;;5;5;5;0;4;5;5;7;4;2012;2;          ;operador C    ;
9;10;10;10;10;;;10;;;;;;;10;10;10;10;10;10;10;10;10;;;;;;;;;;;;10;10;10;10;2;10;10;10;10;10;10;10;9;;2012;3;Mujer     ;operador C    ;63
9;7;8;8;8;2;9;10;10;6;10;10;10;10;9;10;6;6;7;7;7;9;8;10;;;;;;10;9;;9;9;9;9;9;8;2;8;9;9;10;10;10;10;9;;2013;2;Mujer     ;operador C    ;59
7;6;5;5;5;2;4;6;;;;;;;10;10;2;2;5;7;0;7;6;;;;;;;7;8;;5;8;5;6;7;2;2;6;5;2;5;6;7;6;3;;2013;2;Hombre    ;operador C    ;32
6;7;7;6;5;;7;;6;6;6;7;8;7;9;8;9;7;9;8;9;9;9;;;;;;;;;;;;7;7;8;8;2;6;7;5;8;5;7;7;7;;2012;4;Hombre    ;operador C    ;50
7;4;7;5;8;2;7;6;;;;;;;6;9;8;9;9;9;6;5;5;9;6;7;8;9;8;;;;;;6;6;4;7;2;4;5;3;7;6;9;7;7;;2013;2;Hombre    ;operador C    ;42
6;6;6;4;2;2;6;7;6;4;6;7;7;6;7;7;7;6;7;7;7;7;7;;;;;;;3;3;;;;1;1;3;0;2;2;2;5;;5;6;6;7;;2013;2;Hombre    ;operador C    ;40
7;6;7;5;6;2;8;7;;;;;;;4;4;6;5;6;6;4;4;6;4;4;6;5;6;5;;;;;8;7;7;7;10;2;6;6;3;2;8;6;7;9;;2013;2;Mujer     ;operador C    ;36
8;7;8;8;10;;10;10;;;;;;;8;6;7;6;6;7;10;10;10;;8;6;7;10;8;;;;9;8;10;8;8;10;2;9;7;7;10;9;8;9;7;;2012;4;Hombre    ;operador C    ;28
10;9;10;10;10;;10;10;10;8;7;10;10;8;10;9;8;10;10;10;10;10;10;;;;;;;8;;8;8;8;10;8;9;7;2;8;9;10;8;9;9;9;9;;2012;3;Hombre    ;operador C    ;39
7;6;7;6;5;2;5;5;3;9;2;5;9;2;10;0;5;3;7;7;5;5;7;8;5;5;7;7;8;;;;;5;8;9;4;7;1;4;5;5;5;7;6;6;3;;2013;2;Hombre    ;operador C    ;43
6;6;6;4;5;;8;8;3;6;4;6;9;4;6;4;9;8;7;8;8;8;8;;7;6;6;8;7;;;;8;8;6;5;5;5;2;4;5;4;5;4;4;5;3;;2013;1;Mujer     ;operador C    ;33
8;7;7;7;7;;8;7;7;7;0;7;10;0;5;7;5;0;5;6;7;7;7;;;;;;;;;;;;6;7;7;7;2;7;;;7;7;7;7;7;;2012;3;Hombre    ;operador C    ;60
7;9;8;7;8;2;9;8;8;7;6;10;8;7;4;4;7;7;9;7;7;7;8;;7;6;9;9;6;9;;9;;;9;8;8;9;2;8;9;5;5;9;8;8;7;;2013;2;Mujer     ;operador C    ;21
5;4;5;3;3;;5;8;8;6;8;8;10;8;9;9;4;6;4;5;3;3;6;5;4;3;4;4;4;7;6;;5;5;6;6;6;8;2;5;7;0;6;5;8;4;7;;2012;4;Hombre    ;operador C    ;35
10;8;9;9;10;1;9;9;8;8;8;9;10;8;8;10;9;8;10;9;9;8;9;10;10;8;10;10;9;10;10;10;10;8;10;10;10;10;2;8;9;9;10;8;10;10;7;;2013;2;Hombre    ;operador C    ;34
7;6;7;7;8;7;8;8;8;8;7;7;8;8;7;8;8;7;8;7;7;7;6;;7;6;7;7;8;7;6;6;7;7;7;;;;;6;6;7;7;7;8;7;9;10;2012;1;Hombre    ;operador C    ;42
5;0;7;0;3;;6;0;;;;;;;5;0;9;0;4;9;8;10;4;;10;3;10;10;10;;;;;2;0;;;;;1;1;3;;0;2;3;1;9;2012;2;          ;operador C    ;
9;9;9;8;10;;10;9;9;8;10;9;9;10;10;9;9;8;8;8;7;9;9;;9;9;8;8;10;;;;8;8;9;9;9;9;1;7;10;8;;8;9;9;9;;2012;3;Hombre    ;operador C    ;23
10;8;8;8;10;8;8;10;10;10;;10;10;10;10;10;10;10;10;10;10;10;10;;10;6;8;10;10;;;;;;0;;;;;;8;;6;6;10;10;1;6;2012;1;Mujer     ;operador C    ;48
0;5;6;4;0;0;0;0;3;10;0;10;10;0;8;8;1;2;5;5;0;2;6;;0;0;0;0;;8;8;8;5;5;2;;;;;5;5;0;0;6;6;0;1;5;2012;2;          ;operador C    ;
9;8;8;8;9;8;9;8;8;9;9;9;9;9;9;8;9;9;9;9;9;9;9;;8;8;9;9;8;;;;9;8;9;;;;;;9;;9;8;9;9;9;7;2012;2;          ;operador C    ;
7;5;8;8;8;5;0;5;8;8;8;8;8;8;3;5;5;5;7;5;5;7;6;8;5;0;5;8;0;;;;;;7;;;;;6;8;0;4;5;8;7;7;5;2012;2;          ;operador C    ;
5;5;5;5;6;;5;5;7;5;7;7;8;6;2;5;5;8;8;8;7;6;8;;;;;;;;;;;;6;6;6;6;2;6;0;4;;2;6;5;3;;2013;1;Hombre    ;operador C    ;34
8;10;10;10;10;10;10;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;;;;;;;;;;10;;10;;;;;10;10;8;8;10;10;10;9;8;2012;1;Hombre    ;operador C    ;34
5;7;7;6;3;;9;10;7;7;8;8;10;10;6;8;3;2;8;5;5;8;8;;8;7;8;10;9;8;9;8;6;7;9;6;7;7;1;7;6;6;;8;6;7;1;;2012;4;Hombre    ;operador C    ;17
5;6;6;6;2;;7;10;6;2;6;4;10;2;7;6;3;2;6;6;7;8;5;;10;8;10;10;10;;;;10;10;6;6;6;2;2;8;6;2;;6;6;7;1;;2013;1;Hombre    ;operador C    ;29
8;9;9;8;10;9;8;9;9;9;9;10;9;9;9;9;9;10;10;9;9;9;10;;8;7;9;8;8;9;9;;9;9;8;;;;;9;10;9;9;8;9;8;9;10;2012;2;          ;operador C    ;
6;3;5;5;4;;3;7;;;;;;;6;6;5;3;5;5;5;5;5;;5;4;5;7;;;;;6;5;6;4;6;6;2;6;6;4;2;6;5;5;1;;2013;1;Hombre    ;operador C    ;38
3;3;3;1;0;2;0;3;5;5;2;5;5;0;8;8;0;0;3;3;2;5;5;;2;5;2;5;;8;8;;;6;8;8;8;8;2;0;0;0;;0;3;3;1;;2013;2;Mujer     ;operador C    ;43
7;8;7;7;;4;6;7;;;;;;;6;5;5;4;4;6;5;8;8;;8;3;8;6;7;;;;;;5;;;;;8;8;8;;;5;6;9;5;2012;1;Hombre    ;operador C    ;35
7;9;8;7;8;1;8;8;8;8;9;9;10;9;9;9;7;7;8;8;9;8;9;7;7;4;7;2;4;;;;7;8;;;;;2;8;9;8;;6;7;5;3;;2013;2;Mujer     ;operador C    ;27
8;7;8;8;8;;9;7;;;;;;;9;8;9;10;10;9;9;9;10;;;;;;;9;8;;;8;8;8;8;9;2;8;8;5;7;5;8;8;7;;2013;1;Hombre    ;operador C    ;35
8;8;6;7;8;;4;7;9;6;6;9;10;9;6;6;6;6;8;9;6;6;7;4;7;5;8;10;9;;;;5;5;8;7;8;9;2;6;7;6;8;7;7;8;9;;2012;3;Hombre    ;operador C    ;28
7;6;6;5;7;2;7;8;;;;;;;7;8;5;5;8;6;6;6;8;;;;;;;;;;;7;7;7;7;7;2;8;;;;5;5;5;9;;2013;2;Hombre    ;operador C    ;52
5;5;3;3;0;2;2;4;5;3;4;5;6;0;10;0;4;4;5;5;4;4;4;5;4;0;0;5;;;;;;;4;4;4;2;1;3;2;0;;0;0;0;1;;2013;2;Mujer     ;operador C    ;45
8;5;5;5;6;;8;7;7;7;6;7;6;6;6;6;7;7;7;6;6;6;6;;7;5;6;6;5;6;6;6;6;5;6;6;5;6;2;5;7;5;4;5;5;5;7;;2012;3;Hombre    ;operador C    ;35
8;9;8;7;10;1;8;9;9;8;9;9;10;8;7;9;9;9;10;8;9;10;10;;9;8;9;10;9;10;;;8;8;9;10;9;10;2;10;10;10;;7;8;8;7;;2013;2;Mujer     ;operador C    ;18
6;8;8;7;6;6;7;7;7;8;8;7;6;6;8;0;8;8;8;7;6;6;6;;;;;;;;;;;;6;;;;;7;7;6;7;6;6;6;9;10;2012;1;Mujer     ;operador C    ;39
7;9;8;7;7;1;7;7;7;7;8;7;10;7;6;6;7;7;10;10;8;8;8;;;;;;;8;;7;7;7;8;8;8;8;2;7;7;6;5;7;9;8;7;;2013;2;Hombre    ;operador C    ;38
5;5;6;4;3;;8;7;8;6;8;7;10;7;7;9;5;7;6;9;9;7;8;;7;6;8;10;7;;;;;;9;9;9;;2;6;6;4;8;7;5;6;1;;2013;1;Mujer     ;operador C    ;28
7;7;8;7;8;1;8;8;8;0;8;8;10;6;0;5;8;7;10;9;10;7;7;;7;5;8;10;8;9;8;8;7;;7;8;7;8;2;5;5;6;5;4;5;7;9;;2013;2;Hombre    ;operador C    ;31
8;5;10;10;10;;8;9;8;8;10;8;10;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;;;;10;10;10;10;10;10;2;10;10;10;10;10;10;10;9;;2012;4;Mujer     ;operador C    ;38
10;5;8;7;8;7;5;10;8;9;7;7;7;9;7;9;5;3;7;5;8;;7;;;;;;;;;;;10;10;;;;;10;10;7;;10;10;10;9;10;2012;2;          ;operador C    ;
6;5;5;5;5;;6;6;;;;;;;8;0;7;6;6;7;7;7;6;;8;5;6;7;5;;;;;;8;8;8;8;2;;6;;;6;7;7;7;;2012;4;Hombre    ;operador C    ;65
7;7;8;7;8;;9;8;9;6;8;9;9;7;6;7;8;7;7;8;9;8;9;;8;8;8;8;8;;;;;8;7;6;6;6;2;7;7;6;;7;7;6;7;;2012;3;Mujer     ;operador C    ;23
7;8;8;7;8;2;5;7;10;7;9;10;10;10;10;10;8;8;8;7;8;10;10;;7;7;6;10;8;8;9;8;8;10;9;8;8;9;2;9;10;5;9;8;7;5;3;;2013;2;Mujer     ;operador C    ;31
7;9;8;10;10;;7;10;6;5;9;5;10;8;10;8;7;7;8;8;7;6;6;;8;6;7;8;6;8;;;;;8;7;7;8;2;8;8;8;;8;9;8;9;;2012;3;Mujer     ;operador C    ;22
8;10;10;9;10;10;10;10;;;;;;;9;9;9;9;8;9;9;8;7;;;;;;;8;8;9;9;8;10;;;;;10;10;9;8;8;9;9;7;10;2012;2;          ;operador C    ;
8;7;7;6;7;2;7;9;8;6;6;7;8;8;7;6;7;6;8;9;8;7;6;8;7;7;7;9;7;;;;6;6;8;8;8;8;2;8;6;7;6;7;7;7;7;;2013;2;Mujer     ;operador C    ;29
10;8;7;8;8;8;8;9;;;;;;;8;8;8;10;9;10;10;7;7;;;;;;;;;;;;10;;;;;10;;8;8;8;10;8;9;8;2012;1;Hombre    ;operador C    ;71
7;6;7;6;7;7;6;7;8;8;9;9;9;9;8;8;4;6;7;7;7;7;7;;4;1;3;7;3;;;;7;7;9;;;;;6;6;7;7;8;7;7;9;7;2012;2;          ;operador C    ;
5;5;5;3;2;1;3;8;0;8;0;8;8;0;6;5;5;4;6;8;8;3;8;8;6;4;8;10;5;4;0;;;5;8;8;8;8;1;2;8;8;4;7;3;3;3;;2013;2;Hombre    ;operador C    ;47
7;9;5;5;5;;7;8;5;0;3;0;10;0;8;10;6;3;8;6;8;8;8;;10;3;9;10;7;6;8;;7;7;9;9;9;9;2;7;10;8;;8;8;6;3;;2012;4;Mujer     ;operador C    ;43
10;8;8;10;10;1;8;10;10;10;10;10;10;10;10;10;10;10;10;10;9;10;10;;10;6;10;10;10;;;;10;10;10;10;10;10;2;10;10;8;;7;6;7;7;;2013;2;Hombre    ;operador C    ;26
5;7;8;8;8;;7;7;8;4;6;8;9;7;3;0;8;5;8;8;7;8;7;8;5;5;5;5;6;7;7;6;8;;8;7;7;7;2;8;8;4;5;6;7;7;3;;2012;3;Mujer     ;operador C    ;39
7;8;7;6;7;;10;4;6;7;5;5;8;2;10;7;6;8;6;10;7;10;8;;10;10;10;10;10;6;6;5;;;7;6;7;10;2;6;6;5;6;6;7;7;7;;2012;4;Hombre    ;operador C    ;42
5;6;8;6;6;;6;6;4;1;9;8;10;5;6;0;8;9;7;9;6;7;9;;;;;;;9;9;;;9;9;5;9;11;2;4;5;0;4;;3;2;3;;2012;4;Mujer     ;operador C    ;59
8;6;8;7;8;2;7;10;;;;;;;9;9;8;7;8;8;8;8;7;;7;7;8;10;8;8;;;10;8;10;10;10;10;2;7;7;8;10;8;8;7;7;;2013;2;Hombre    ;operador C    ;54
5;5;5;5;5;;5;8;5;8;5;8;8;0;5;8;5;5;6;8;8;8;8;;8;3;8;8;8;;;;8;8;8;7;7;8;2;4;0;5;;5;5;5;1;;2013;1;Mujer     ;operador C    ;49
9;9;8;8;9;2;9;8;;;;;;;8;7;9;9;9;9;9;9;8;;;;;;;;;;9;5;9;9;8;9;2;9;9;8;10;9;9;10;9;;2013;2;Hombre    ;operador C    ;45
5;3;5;0;3;2;4;4;5;5;6;5;7;5;7;0;6;0;5;6;6;7;6;;;;;;;;;;;;6;6;6;6;2;0;5;0;;5;4;4;1;;2013;2;Hombre    ;operador C    ;40
8;10;10;10;10;2;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;;;;;;10;;;;;10;10;10;10;2;10;10;10;;10;10;10;9;;2013;2;Hombre    ;operador C    ;40
8;7;7;5;9;6;8;10;;;;;;;6;9;6;6;8;6;5;6;7;;7;9;7;10;0;3;3;;6;8;6;;;;;6;8;6;6;8;8;9;9;5;2012;1;Mujer     ;operador C    ;30
8;9;9;8;10;1;8;10;10;8;10;10;10;10;8;10;8;9;9;9;9;10;9;;;;;;;;;;;9;8;10;10;10;2;9;10;10;;8;9;10;9;;2013;2;Mujer     ;operador C    ;47
9;9;10;10;0;;10;10;10;10;10;10;10;10;10;0;10;10;10;10;8;10;10;;8;6;10;10;10;;;;;10;10;11;10;10;2;;10;8;;;10;10;7;;2012;4;Mujer     ;operador C    ;54
8;9;10;7;6;;8;9;;;;;;;10;9;8;7;10;9;10;10;8;;;;;;;10;;;8;10;9;8;9;8;2;7;7;7;;7;8;7;9;;2012;4;Hombre    ;operador C    ;17
4;5;4;4;4;1;2;3;5;6;8;6;5;5;9;0;8;8;8;10;5;6;6;8;;;;;;;;;7;;8;;;;;4;;5;0;6;4;3;1;4;2012;2;          ;operador C    ;
10;9;9;9;9;9;10;10;9;9;10;9;9;9;7;10;10;9;9;9;9;9;10;;;;;;;10;10;;;;10;;;;;10;10;8;10;10;10;9;9;9;2012;1;Hombre    ;operador C    ;30
7;5;8;6;0;1;3;10;10;10;0;10;10;0;8;8;8;8;8;8;8;9;6;5;6;4;0;10;;8;10;;6;7;8;9;9;10;2;0;0;6;9;8;9;8;1;;2013;2;Hombre    ;operador C    ;50
8;8;8;8;9;8;8;9;5;7;9;8;9;7;9;8;8;7;9;8;9;8;7;;;;;;;;;;8;7;9;;;;;8;7;8;8;9;8;8;9;8;2012;2;          ;operador C    ;
9;10;10;10;9;2;10;10;;;;;;;10;10;10;10;10;10;10;10;10;;10;9;10;10;10;;;;10;10;10;10;10;10;2;10;10;10;;10;10;10;9;;2013;2;Mujer     ;operador C    ;43
8;8;9;5;7;6;7;5;7;8;4;8;10;4;9;8;6;4;8;9;7;5;6;;7;6;7;9;8;7;7;5;;8;7;;;;;9;9;9;8;6;7;8;7;9;2012;1;Hombre    ;operador C    ;32
10;10;10;9;8;1;10;9;;;;;;;10;10;8;9;9;8;10;10;7;10;;;;;;;;;9;10;10;10;10;10;2;10;10;;;10;10;10;9;;2013;2;Mujer     ;operador C    ;23
4;5;5;5;3;;4;3;0;2;0;0;2;0;5;5;5;5;5;6;6;7;5;;1;0;0;0;;;;;;;7;10;7;7;2;4;;0;;2;5;2;3;;2012;3;Hombre    ;operador C    ;47
8;10;10;10;10;;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;;;;;;;;;;;10;10;10;10;2;10;10;10;;9;10;10;9;;2012;3;Mujer     ;operador C    ;60
8;5;8;8;8;;10;10;8;8;8;10;10;8;10;10;10;10;10;10;10;10;10;;;;;;;;;;;;2;2;8;2;2;8;;;;6;8;10;9;;2012;3;Mujer     ;operador C    ;48
8;5;8;8;8;8;6;8;;;;;;;10;9;7;7;9;9;9;9;8;8;;;;;;9;9;;;8;8;;;;;7;6;6;;7;7;;3;;2012;1;Mujer     ;operador C    ;45
8;7;7;7;7;6;7;7;8;6;7;8;9;8;9;8;7;6;7;8;8;7;7;;;;;;;7;8;;;8;7;;;;;7;7;6;;7;8;7;7;6;2012;1;Mujer     ;operador C    ;29
