SATISFACCION_GLOBAL;VALORACION_COSTE_GLOBAL;VAL_CAL_GLOB;VAL_CAL_PREC;RECOMENDACION;NECESIDAD_CLIENTE;CAPACIDAD_RESOLUCION;PROCESO_ADQUISICION;SATISFACCION_PV;ACCESO_VENDEDOR_PV;DISPONIBILIDAD_PRODUCTOS_PV;ATENCION_PV;ASPECTO_PV;SOLUCION_PV;SAT_TELEFONO_PROPIO;SATISFACCION_GAMA;SAT_CALIDAD_COMUNICACION;COBERTURA_INTERIORES;COBERTURA_EXTERIORES;NITIDEZ;INTERRUPCIONES;INTENTOS_LLAMADA;TIEMPO_CONEXION;SATISFACCION_ROAMING;SATISFACCION_CC;FACILIDAD_ACCESO_CC;CALIDAD_INFORMACION_CC;AMABILIDAD_CC;RAPIDEZ_SOLUCION_CC;SATISFACCION_WEB;SAT_AREA_CLI;SATISFACCION_TIENDA_WEB;SAT_SERV_DAT;VAL_SERV_NAV;SATISFACCION_FACTURA;ACCESIBILIDAD_FACTURA;CLARIDAD_FACTURA;PUNTUALIDAD_FACTURA;ERROR_FACTURA;VALORACION_TARIFAS;VAL_TAR_PERS;VALORACION_PROMOCIONES;VALORACION_RENOVE;VALORACION_INFORMACION;IMAGEN;CONFIANZA_TRATO;FIDELIDAD_CODIGO;ESFUERZO;ANIO;Q;SEXO;operador_agr;EDAD
8;5;7;7;5;1;7;9;;;;;;;10;8;10;10;10;9;9;8;;;8;8;6;9;10;;;;6;8;7;7;7;7;2;0;;4;10;5;8;8;7;;2013;2;Mujer     ;operador A  ;47
5;8;7;6;6;2;5;8;;;;;;;7;0;5;3;7;6;6;6;5;;;;;;;;;;;6;6;7;6;6;2;7;7;5;5;5;6;6;7;;2013;2;Mujer     ;operador A  ;32
7;4;6;7;5;2;7;8;6;5;5;8;8;8;5;7;7;8;10;6;6;7;8;;8;6;8;9;7;;;;7;7;8;7;8;8;2;8;9;7;;8;7;7;9;;2013;2;Hombre    ;operador A  ;18
7;6;7;6;6;2;7;8;8;8;8;10;10;8;10;10;10;10;10;10;10;10;10;;10;10;8;10;9;8;;8;8;8;9;9;9;10;2;7;7;6;6;6;7;8;9;;2013;2;Mujer     ;operador A  ;45
5;2;3;2;5;2;5;6;2;4;5;4;5;0;6;0;8;8;8;8;8;8;7;;;;;;;5;;;5;5;5;5;5;5;2;4;4;0;;0;2;2;1;;2013;2;Mujer     ;operador A  ;45
5;10;5;5;;2;5;5;5;5;5;5;10;5;7;5;7;7;7;5;7;5;5;;7;7;7;8;7;;;;5;7;8;8;8;8;2;7;7;5;;5;7;7;9;;2013;2;Hombre    ;operador A  ;62
7;6;7;6;8;1;5;8;8;4;8;7;8;8;6;9;9;9;9;9;9;9;9;;3;3;6;7;7;6;4;;5;8;8;7;7;9;2;6;8;3;3;7;8;5;9;;2013;2;Hombre    ;operador A  ;68
7;7;7;8;5;2;7;7;8;8;8;8;8;8;8;8;8;7;8;8;8;8;6;;5;5;6;6;;;;;3;6;8;7;7;8;1;8;8;7;;7;7;7;7;;2013;2;Hombre    ;operador A  ;60
10;5;10;5;5;2;10;7;6;5;8;5;10;8;7;8;10;10;10;10;10;8;10;;10;5;7;5;5;5;0;;;7;0;7;10;7;1;5;5;5;0;7;5;5;3;;2013;2;Mujer     ;operador A  ;50
8;8;9;8;8;8;8;9;9;9;9;9;9;9;10;7;7;6;8;8;7;8;8;;7;8;9;9;9;;;;;9;8;;;;;8;5;9;5;7;8;7;9;8;2012;1;Hombre    ;operador A  ;43
