"LUGAR";"MES";"ANIO";"HORA";"HORA_C";"IMP_BOL";"PUNTOS";"DENUNCIANTE";"CALIFICACION";"CAT";"HECHO.BOL";"VEL_LIMITE";"VEL_CIRCULA";"lat";"lon"
"SUERO QUIÑONES 42, MADRID, SPAIN";5;2015;16.59;16;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4475413;-3.6774728
"F010 CR CASTILLA, MADRID, SPAIN";8;2015;20.51;20;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;94;40.4423762;-3.7477896
"MARQUES DE VIANA 15, MADRID, SPAIN";2;2015;19.21;19;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.46113;-3.69987
"KM 10,0 AV ANDALUCIA, MADRID, SPAIN";4;2015;8.25;8;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";60;85;40.33038;-3.69681
"ARTURO SORIA 189, MADRID, SPAIN";9;2015;10.38;10;90;0;"SACE";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.4585718;-3.6593717
"FERNANDEZ DE LA HOZ 3, MADRID, SPAIN";10;2015;19.04;19;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4308883;-3.6952694
"OQUENDO 23, MADRID, SPAIN";1;2016;14.01;14;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4406537;-3.6821088
"A5 KM 4.0 SALIDA, MADRID, SPAIN";4;2015;11.42;11;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;78;40.4529615;-3.5772417
"GUTENBERG 26, MADRID, SPAIN";9;2015;19.29;19;200;0;"SER";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR EN CARRIL DE CIRCULACION.";NA;NA;40.4069158;-3.6801495
"RUIZ DE ALARCON 18, MADRID, SPAIN";9;2015;14.02;14;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4154586;-3.691603
"M-30 NC K 14,200 CR3, MADRID, SPAIN";9;2015;21;21;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;75;40.4167754;-3.7037902
