"LUGAR";"MES";"ANIO";"HORA";"HORA_C";"IMP_BOL";"PUNTOS";"DENUNCIANTE";"CALIFICACION";"CAT";"HECHO.BOL";"VEL_LIMITE";"VEL_CIRCULA";"lat";"lon"
"M-30 CALZADA 1 KM 25,700, MADRID, SPAIN";8;2015;12.56;12;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";90;99;40.3763542;-3.6424232
"HILERAS 16, MADRID, SPAIN";11;2015;13;13;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4178439;-3.7073952
"OLIVOS 19, MADRID, SPAIN";2;2015;10.01;10;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4058243;-3.733281
"M-30 FT K 04,150 CR4, MADRID, SPAIN";8;2015;15.31;15;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;74;40.4167754;-3.7037902
"INFANTA MERCEDES 64, MADRID, SPAIN";7;2015;9.57;9;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4605162;-3.6962121
"GENERAL PERON 21, MADRID, SPAIN";11;2015;10.54;10;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4525847;-3.6957727
"CLARA DEL REY 30, MADRID, SPAIN";9;2015;18;18;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN ZONA Y HORARIO DE CARGA Y DESCARGA SIN REALIZAR OPERACIONES CON ESA FINALIDAD.";NA;NA;40.4430758;-3.6689699
"M-30 CALZADA 2 KM 27.000, MADRID, SPAIN";2;2015;11.16;11;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";90;99;40.443297;-3.7049196
"JUAN DE VERA 10, MADRID, SPAIN";12;2015;14.33;14;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.3958853;-3.6907608
"CL MIRA EL SOL 23, MADRID, SPAIN";1;2016;10.4;10;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4068588;-3.7075765
"RABIDA 10, MADRID, SPAIN";6;2015;9.34;9;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4533641;-3.7112071
"DON RAMON DE LA CRUZ 35, MADRID, SPAIN";1;2016;13.38;13;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4290788;-3.6814841
"ALEJANDRO RODRIGUEZ 16, MADRID, SPAIN";11;2015;19.24;19;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4537383;-3.7099361
"LEON 32, MADRID, SPAIN";12;2015;19.14;19;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4128568;-3.6993867
"PRADO 28, MADRID, SPAIN";5;2015;16.03;16;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4119963;-3.6934161
"COSTA RICA 26, MADRID, SPAIN";3;2015;16.29;16;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4582849;-3.6730569
"AGUILON 4, MADRID, SPAIN";7;2015;10.44;10;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.397094;-3.7015083
"EMBAJADORES 66, MADRID, SPAIN";12;2015;10.59;10;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4072396;-3.7039521
"PO INFANTA ISABEL 11, MADRID, SPAIN";4;2015;17.35;17;200;0;"SACE";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR EN CARRIL RESERVADO PARA USO, PARADA O ESTACIONAMIENTO EXCLUSIVO DEL TRANSPORTE PÚBLICO URBANO.";NA;NA;40.4167754;-3.7037902
"ASUNCION CASTELL 22, MADRID, SPAIN";12;2015;10.4;10;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4556847;-3.7009916
"PEDRO MEDRANO 3, MADRID, SPAIN";11;2015;9.46;9;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4675047;-3.7045054
"M-30 XC K 10,300 CR3, MADRID, SPAIN";6;2015;20.33;20;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;75;40.4167754;-3.7037902
"MODESTO LAFUENTE 22, MADRID, SPAIN";6;2015;16.07;16;200;0;"SACE";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR EN DOBLE FILA.";NA;NA;40.438026;-3.6961735
"PADRE DAMIAN 1, MADRID, SPAIN";6;2015;13.43;13;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4524192;-3.6865553
"JERONIMO DE LA QUINTANA 11, MADRID, SPAIN";5;2015;11.37;11;200;0;"SER";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR EN CARRIL DE CIRCULACION.";NA;NA;40.4313103;-3.7046924
"M-30 CALZADA 1 KM 25,700, MADRID, SPAIN";5;2015;16.35;16;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";90;96;40.3763542;-3.6424232
"M-30 C-1 KM 0,500 CR-CRA, MADRID, SPAIN";2;2015;0.44;0;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";90;101;42.8567917;-2.6601429
"M-30 XC K 10,300 CR3, MADRID, SPAIN";8;2015;14.08;14;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;75;40.4167754;-3.7037902
"VALENZUELA 12, MADRID, SPAIN";7;2015;18.55;18;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4186937;-3.6891875
"HILERAS 16, MADRID, SPAIN";12;2015;2.58;2;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4178439;-3.7073952
"BRAVO MURILLO 54, MADRID, SPAIN";10;2015;15.45;15;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4430012;-3.7038497
"F220 PO EXTREMADURA, MADRID, SPAIN";4;2015;0.15;0;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;96;40.4167754;-3.7037902
"MANCEBOS 2, MADRID, SPAIN";6;2015;20.35;20;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.4121135;-3.7117844
"PABLO ARANDA 9, MADRID, SPAIN";12;2015;19.33;19;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4419255;-3.6834049
"HILERAS 16, MADRID, SPAIN";12;2015;10.17;10;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4178439;-3.7073952
"PARROCO EUSEBIO CUENCA 40, MADRID, SPAIN";12;2015;12.14;12;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.3959318;-3.6893676
"GRAL. PARDIÑAS 6, MADRID, SPAIN";8;2015;11.33;11;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.4239998;-3.6786181
"HILERAS 10, MADRID, SPAIN";2;2015;19.26;19;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.416652;-3.7084108
"HERMANO GARATE 4, MADRID, SPAIN";10;2015;12.56;12;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4585319;-3.696122
"PO CASTELLANA-DOCTOR MARAÑON, MADRID, SPAIN";12;2015;18.34;18;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"CIRCULAR POR UN CARRIL DE CIRCULACIÓN RESERVADA.";NA;NA;40.4383;-3.69143
"CLAUDIO COELLO 46, MADRID, SPAIN";6;2015;20.14;20;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4268612;-3.686238
"BRAVO MURILLO 54, MADRID, SPAIN";10;2015;12.12;12;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4430012;-3.7038497
"GENERAL DIAZ PORLIER 78, MADRID, SPAIN";1;2016;12.53;12;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.4332154;-3.6764117
"SAN FELIPE 12, MADRID, SPAIN";3;2015;12.47;12;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4612874;-3.6963548
"PZ SANTA ANA 8, MADRID, SPAIN";4;2015;23.29;23;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.3414313;-3.3815818
"AV ALB.ALCOCER 43, MADRID, SPAIN";2;2015;18.28;18;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.4167754;-3.7037902
"CARLOS MARTIN ALVAREZ 25, MADRID, SPAIN";12;2015;17.42;17;200;0;"POLICIA MUNICIPAL";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR OBSTACULIZANDO LA UTILIZACIÓN DE UN VADO SEÑALIZADO CORRECTAMENTE Y EN ACCESOS A INMUEBLES.";NA;NA;40.3896047;-3.6630868
"M-30 XC K 10,300 CR3, MADRID, SPAIN";8;2015;19.19;19;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;79;40.4167754;-3.7037902
"GENERAL PARDIÑAS 55, MADRID, SPAIN";5;2015;10.1;10;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4306067;-3.6782984
"IBIZA 52, MADRID, SPAIN";8;2015;11.14;11;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4179344;-3.672377
"M-30 XC K 10,300 CR3, MADRID, SPAIN";12;2015;10.48;10;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;86;40.4167754;-3.7037902
"AV RAMON CAJAL 2, MADRID, SPAIN";3;2015;10.19;10;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4515097;-3.6760533
"PZ PLATERIA DE MARTINEZ 1, MADRID, SPAIN";7;2015;13.48;13;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4126599;-3.6938232
"M-30 C-2 KM 7,800 CR-IZD, MADRID, SPAIN";8;2015;21.34;21;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";90;110;40.4167754;-3.7037902
"PIO BAROJA 7, MADRID, SPAIN";4;2015;17.55;17;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4140579;-3.673941
"FUCAR 24, MADRID, SPAIN";2;2015;5.45;5;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4108797;-3.6956752
"M-30 XC K 10,300 CR3, MADRID, SPAIN";7;2015;10.43;10;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;79;40.4167754;-3.7037902
"PABLO IGLESIAS 15, MADRID, SPAIN";3;2015;13.17;13;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4465354;-3.7083312
"FLANDES-LYON, MADRID, SPAIN";11;2015;1.2;1;90;0;"POLICIA MUNICIPAL";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR SOBRE LA ACERA.";NA;NA;40.4167754;-3.7037902
"MALDONADO 79, MADRID, SPAIN";1;2016;18.3;18;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.4335032;-3.6739967
"CASINO 2, MADRID, SPAIN";3;2015;9.29;9;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4071477;-3.7040771
"RAFAEL BOTI SN HIPERCOR, MADRID, SPAIN";8;2015;12;12;200;0;"POLICIA MUNICIPAL";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR EN CARRIL DE CIRCULACION.";NA;NA;40.4167754;-3.7037902
"FERNANDEZ DE LOS RIOS 50, MADRID, SPAIN";4;2015;18.04;18;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4353297;-3.7104826
"GENERAL DIAZ PORLIER 53, MADRID, SPAIN";7;2015;15.31;15;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.4297145;-3.6769847
"M-30 NC K 14,200 CR3, MADRID, SPAIN";4;2015;18.43;18;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;75;40.4167754;-3.7037902
"M-30 FT K 04,150 CR4, MADRID, SPAIN";10;2015;13.48;13;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;84;40.4167754;-3.7037902
"M-30 C-1 KM 6,700 CR3, MADRID, SPAIN";11;2015;22.36;22;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";90;99;40.4167754;-3.7037902
"BRONCE 16, MADRID, SPAIN";10;2015;18.4;18;30;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO EN LUGAR HABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA,REBASANDO EL TIEMPO MÁXIMO";NA;NA;40.3893583;-3.6884546
"AEROPUERTO SALIDA T 1, MADRID, SPAIN";3;2015;20.09;20;90;0;"POLICIA MUNICIPAL";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.4676456;-3.5695534
"PZ SANTA ANA 8, MADRID, SPAIN";5;2015;18.46;18;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.3414313;-3.3815818
"F019 AV MEDITERRANEO, MADRID, SPAIN";8;2015;9.15;9;300;2;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS HASTA 50km/h.";50;77;40.4066556;-3.6679944
"ARGUMOSA 14, MADRID, SPAIN";7;2015;9.51;9;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4080562;-3.6989869
"GOYA 26, MADRID, SPAIN";7;2015;16.45;16;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.496776;-3.5129587
"PO INFANTA ISABEL 5, MADRID, SPAIN";5;2015;20.21;20;200;0;"SACE";"GRAVE";"ESTACIONAMIENTO";"ESTACIONAR EN CARRIL RESERVADO PARA USO, PARADA O ESTACIONAMIENTO EXCLUSIVO DEL TRANSPORTE PÚBLICO URBANO.";NA;NA;40.4167754;-3.7037902
"PRINCI.VERGARA 126, MADRID, SPAIN";2;2015;16.45;16;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4167754;-3.7037902
"CASTELLO 96, MADRID, SPAIN";1;2016;11.25;11;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4341088;-3.6806661
"GT LOPEZ HOYOS-JOAQUIN COSTA, MADRID, SPAIN";4;2015;13.45;13;200;3;"AGENTES DE MOVILIDAD";"GRAVE";"CACHARROS";"UTILIZAR MANUALMENTE PANTALLAS, NAVEGADORES, DISPOSITIVO DE TELEFONIA, SISTEMA DE COMUNICACION O DE DETECCION DE RADAR";NA;NA;40.4167754;-3.7037902
"LOPE DE HARO 30, MADRID, SPAIN";11;2015;18.39;18;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.4568276;-3.7043652
"SANTA ENGRACIA 29, MADRID, SPAIN";2;2015;13.01;13;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4311209;-3.6972745
"SUBTRRANEO COSTA RICA, MADRID, SPAIN";7;2015;14.23;14;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS HASTA 50km/h.";50;62;40.4167754;-3.7037902
"N024 AV RAMON Y CAJAL, MADRID, SPAIN";8;2015;17.53;17;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS HASTA 50km/h.";50;69;40.4524508;-3.6688827
"PRADO 28, MADRID, SPAIN";4;2015;21.18;21;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.4119963;-3.6934161
"STO. DOMINGO 1, MADRID, SPAIN";12;2015;23.53;23;90;0;"AGENTES DE MOVILIDAD";"LEVE";"OTROS";"NO RESPETAR LAS SEÑALES EN UNA VÍA DE CIRCULACIÓN RESTRINGIDA O RESERVADA.";NA;NA;40.42047;-3.70878
"GOYA 102, MADRID, SPAIN";6;2015;11.09;11;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.4243759;-3.6707377
"EMILIO CAMPION 25, MADRID, SPAIN";10;2015;9.19;9;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.446566;-3.6798979
"ALEJANDRO SAINT AUBIN 4, MADRID, SPAIN";11;2015;17.15;17;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.3932613;-3.6969291
"LOPE DE HARO 2, MADRID, SPAIN";9;2015;10.49;10;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4575412;-3.7017847
"CL RAFAEL CALVO 40, MADRID, SPAIN";11;2015;12.31;12;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4339874;-3.6907739
"M-30 XC K 10,300 CR3, MADRID, SPAIN";12;2015;19.04;19;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;79;40.4167754;-3.7037902
"MANUEL SILVELA 16, MADRID, SPAIN";5;2015;10.32;10;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4305162;-3.6990938
"M-30 FT K 04,150 CR4, MADRID, SPAIN";11;2015;18.3;18;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";70;82;40.4167754;-3.7037902
"PIO BAROJA 9, MADRID, SPAIN";6;2015;16.24;16;60;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR CON DISTINTIVO NO VÁLIDO.";NA;NA;40.4138191;-3.6739138
"SAN BUENAVENTURA 2, MADRID, SPAIN";4;2015;11.18;11;90;0;"SER";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR, SIN EL DISTINTIVO QUE LO AUTORIZA, EN LUGARHABILITADO PARA EL ESTACIONAMIENTO CON LIMITACIÓN HORARIA.";NA;NA;40.4111166;-3.7145401
"M-30 C-1 KM 6,700 CR3, MADRID, SPAIN";10;2015;12.26;12;100;0;"POLICIA MUNICIPAL";"GRAVE";"VELOCIDAD";"SOBREPASAR LA VELOCIDADMÁXIMA EN VÍAS LIMITADAS EN 60 km/h O MÁS.";90;99;40.4167754;-3.7037902
"AEROPUERTO SALIDA T 4, MADRID, SPAIN";8;2015;15.36;15;90;0;"POLICIA MUNICIPAL";"LEVE";"ESTACIONAMIENTO";"ESTACIONAR EN LUGAR PROHIBIDO DEBIDAMENTE SEÑALIZADO.";NA;NA;40.4913653;-3.592149
