var_provincia;var_sexo;var_tipocontrato;var_grupo_cnae;var_tipojornada;var_antiguedad;salario_bruto_anual_medio;factor_elev
1;hombre;Temporal;J;Tiempo parcial;Menos de dos años;26516.8;17.25
1;hombre;Temporal;K;Tiempo completo;Menos de dos años;20438.76592;27.11
1;hombre;Temporal;M;Tiempo completo;De cinco a diez años;18496.20776;22.5
1;hombre;Temporal;M;Tiempo completo;De dos a cinco años;21397.58494;46
1;hombre;Temporal;M;Tiempo completo;Menos de dos años;20696.2854;169.95
1;hombre;Temporal;N;Tiempo completo;De cinco a diez años;18655;32.36
1;hombre;Temporal;N;Tiempo completo;De dos a cinco años;18383.82;46.51
1;hombre;Temporal;N;Tiempo completo;Menos de dos años;20487.59093;645.62
1;hombre;Temporal;N;Tiempo parcial;Menos de dos años;11925;32.36
1;hombre;Temporal;O;Tiempo completo;De cinco a diez años;35776.295;110.4
1;hombre;Temporal;O;Tiempo completo;De dos a cinco años;32818.815;220.8
1;hombre;Temporal;O;Tiempo completo;Más de diez años;43127.56688;131.64
1;hombre;Temporal;O;Tiempo completo;Menos de dos años;28077.69271;97.68
1;hombre;Temporal;O;Tiempo parcial;Más de diez años;15673.11;42.48
1;hombre;Temporal;O;Tiempo parcial;Menos de dos años;10657.96;37.8
1;hombre;Temporal;P;Tiempo completo;De cinco a diez años;31071.84333;196.08
1;hombre;Temporal;P;Tiempo completo;De dos a cinco años;32012.92335;145.16
1;hombre;Temporal;P;Tiempo completo;Más de diez años;35319.43928;170.66
1;hombre;Temporal;P;Tiempo completo;Menos de dos años;23594.38413;263.72
1;hombre;Temporal;P;Tiempo parcial;De dos a cinco años;4318.56;26.6
1;hombre;Temporal;P;Tiempo parcial;Más de diez años;10272.34;25.5
1;hombre;Temporal;P;Tiempo parcial;Menos de dos años;9638.931428;183.35
1;hombre;Temporal;Q;Tiempo completo;De cinco a diez años;33278.21948;250.58
1;hombre;Temporal;Q;Tiempo completo;De dos a cinco años;46375.4;237.38
1;hombre;Temporal;Q;Tiempo completo;Más de diez años;34555.83719;126.33
1;hombre;Temporal;Q;Tiempo completo;Menos de dos años;30528.8782;403.45
1;hombre;Temporal;Q;Tiempo parcial;De cinco a diez años;15122.06061;52.25
1;hombre;Temporal;Q;Tiempo parcial;De dos a cinco años;23815.14945;175.11
1;hombre;Temporal;R;Tiempo completo;De cinco a diez años;13729.04;91.2
1;hombre;Temporal;R;Tiempo completo;De dos a cinco años;263410.202;38.74
1;hombre;Temporal;R;Tiempo completo;Menos de dos años;57079.22679;151.88
1;hombre;Temporal;R;Tiempo parcial;Menos de dos años;8217.496604;65.82
1;hombre;Temporal;S;Tiempo completo;De cinco a diez años;20850.16;37.23
1;hombre;Temporal;S;Tiempo parcial;Más de diez años;6268.61;101.61
1;hombre;Temporal;S;Tiempo parcial;Menos de dos años;4074.682595;44.8
1;mujer;Indefinido;B;Tiempo completo;De cinco a diez años;37827.9;2.4
1;mujer;Indefinido;B;Tiempo completo;Más de diez años;44897.29912;1
1;mujer;Indefinido;B;Tiempo parcial;Más de diez años;9700.22;18.63
1;mujer;Indefinido;B;Tiempo parcial;Menos de dos años;16724.16;2.4
1;mujer;Indefinido;C;Tiempo completo;De cinco a diez años;24906.56729;818.58
1;mujer;Indefinido;C;Tiempo completo;De dos a cinco años;26124.44864;570.34
1;mujer;Indefinido;C;Tiempo completo;Más de diez años;32467.24367;2987.96
1;mujer;Indefinido;C;Tiempo completo;Menos de dos años;27065.68815;319.54
1;mujer;Indefinido;C;Tiempo parcial;De cinco a diez años;11306.49828;407.86
1;mujer;Indefinido;C;Tiempo parcial;De dos a cinco años;9460.320553;24.43
1;mujer;Indefinido;C;Tiempo parcial;Más de diez años;14590.49814;377.33
1;mujer;Indefinido;C;Tiempo parcial;Menos de dos años;4145.494405;46.29
1;mujer;Indefinido;D;Tiempo completo;Más de diez años;36256.14494;33.46
1;mujer;Indefinido;D;Tiempo parcial;Más de diez años;24846.98;6.37
1;mujer;Indefinido;E;Tiempo completo;De cinco a diez años;33734.03653;16.96
1;mujer;Indefinido;E;Tiempo completo;De dos a cinco años;31952.03;7.3
1;mujer;Indefinido;E;Tiempo completo;Más de diez años;31594.54537;88.92
1;mujer;Indefinido;E;Tiempo completo;Menos de dos años;18300.54875;32.25
1;mujer;Indefinido;E;Tiempo parcial;De cinco a diez años;30759.27;26.52
1;mujer;Indefinido;E;Tiempo parcial;De dos a cinco años;20004.22174;26.52
1;mujer;Indefinido;F;Tiempo completo;De cinco a diez años;32092.3863;43.81
1;mujer;Indefinido;F;Tiempo completo;De dos a cinco años;20714.14;91.17
1;mujer;Indefinido;F;Tiempo completo;Más de diez años;19285.88385;293.68
1;mujer;Indefinido;F;Tiempo completo;Menos de dos años;22499.96;47
